HEADER[~&~	~&~ENTITY_NM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~NM_TYP_CD::VARCHAR~&~	~&~FIRST_NM::VARCHAR~&~	~&~MIDDLE_NM::VARCHAR~&~	~&~LAST_NM::VARCHAR~&~	~&~SUFFIX_NM::VARCHAR~&~	~&~PREFIX_NM::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~TITLE_NM::VARCHAR~&~	~&~NOTE_MSG::VARCHAR~&~	~&~NM_CHNG_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1200'~&~	~&~'5B97C50B042C6110E0404F8189D85213'~&~	~&~'1'~&~	~&~'1100'~&~	~&~'PRFR'~&~	~&~'admin'~&~	~&~NULL~&~	~&~'admin'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'200811131407020000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1231'~&~	~&~'5B97C50B044B6110E0404F8189D85213'~&~	~&~'1'~&~	~&~'1131'~&~	~&~'PRFR'~&~	~&~'Notification'~&~	~&~NULL~&~	~&~'System'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'200811131407070000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS2'~&~	~&~'KFS2'~&~	~&~'1'~&~	~&~'KFS2'~&~	~&~'PRFR'~&~	~&~'KFS'~&~	~&~NULL~&~	~&~'Admin'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
